"Key","Administration","Party","Department","Name","LastName","ServiceStart","ServiceEnd","DeptScandalFlag","ScandalFlag","ScandalDesc","EduDesc","Bachelors","Masters","MD","Law","Doctorate","MilitaryService","MilitaryDatesServed","MilitaryBranch","Gender","ForeignBorn","Minority","DiedOffice","SenateVotesFor","SenateVotesAgainst","NotesDiscrepancies","","","","","","","","","",""
"73","Monroe","Democratic-Republican","Secretary of the Navy","B. W. Crowninshield","Crowninshield","1817-03-04","1818-10-01","","","","no college","","","","","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"74","Monroe","Democratic-Republican","Secretary of the Navy","Smith Thompson","Thompson","1819-01-01","1823-09-01","","","","Princeton University (BA)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"75","Monroe","Democratic-Republican","Secretary of the Navy","Samuel L. Southard","Southard","1823-09-16","1825-03-03","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"76","Monroe","None, Federalist","Postmaster General","Return J. Meigs, Jr.","Meigs","1817-03-04","1823-06-26","","","","Yale University (grad.)","1","","","1","","bvt. col.","Revolutionary War","Army","1","0","0","0","pa","pa","","","","","","","","","","",""
"77","Monroe","Democratic-Republican","Postmaster General","John McLean","McLean","1823-07-01","1825-03-03","","","","Harvard University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"78","John Quincy Adams","Democratic-Republican","President","John Quincy Adams","Adams","1825-03-04","1829-03-03","","","","Harvard University (BA, MA)","1","1","","1","","","","","1","0","0","0","eo","eo","Only the BA is listed in Sobel et al.","","","","","","","","","",""
"79","John Quincy Adams","Democratic-Republican","Vice President","John C. Calhoun","Calhoun","1825-03-04","1829-03-03","","","","Yale University (grad.); Litchfield Law School (law deg.)","1","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"80","John Quincy Adams","Democratic-Republican","Secretary of State","Henry Clay","Clay","1825-03-07","1829-03-03","","","","College of William and Mary","","","","1","","","","","1","0","0","0","27","14","","","","","","","","","","",""
"81","John Quincy Adams","Democratic-Republican","Secretary of the Treasury","Samuel L. Southard","Southard","1825-03-04","1825-08-01","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","acting","acting","Served briefly as ad interim Secretary of the Treasury","","","","","","","","","",""
"82","John Quincy Adams","Democratic-Republican","Secretary of the Treasury","Richard Rush","Rush","1825-08-01","1829-03-03","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"83","John Quincy Adams","Democratic-Republican","Secretary of War","James Barbour","Barbour","1825-03-04","1828-05-26","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"84","John Quincy Adams","Democratic-Republican","Secretary of War","Peter B. Porter","Porter","1828-06-21","1829-03-03","","","","Yale University (grad.)","1","","","1","","","","","1","0","0","0","22","11","","","","","","","","","","",""
"85","John Quincy Adams","Democratic-Republican","Attorney General","William Wirt","Wirt","1825-03-04","1829-03-03","","","","read law","","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"86","John Quincy Adams","Democratic-Republican","Secretary of the Navy","Samuel L. Southard","Southard","1825-03-04","1829-03-03","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"87","John Quincy Adams","Democratic-Republican","Postmaster General","John McLean","McLean","1825-03-04","1829-03-03","","","","Harvard University (grad.)","1","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"88","Jackson","Democrat","President","Andrew Jackson","Jackson","1829-03-04","1837-03-03","","","","read law","","","","1","","cmdr.; maj. gen.; brig. gen.","1812-1814; 1814-1816; Civil War","Militia/National Guard; Army; Army","1","0","0","0","eo","eo","","","","","","","","","","",""
"89","Jackson","Democrat","Vice President","John C. Calhoun","Calhoun","1829-03-04","1833-03-03","","","","Yale University (grad.); Litchfield Law School (law deg.)","1","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"90","Jackson","Democrat","Vice President","Martin Van Buren","Van Buren","1833-03-04","1837-03-03","","","","read law","","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"91","Jackson","Democrat","Secretary of State","Martin Van Buren","Van Buren","1829-03-28","1831-03-23","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"92","Jackson","Democrat","Secretary of State","Edward Livingston","Livingston","1831-05-24","1833-05-29","","","","Princeton University (grad.)","1","","","1","","ADC","War of 1812","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"93","Jackson","Democrat","Secretary of State","Louis McLane","McLane","1833-05-29","1834-06-30","","","","Newark College","","","","1","","midshipman","1798-1799","Navy","1","0","0","0","nr","nr","","","","","","","","","","",""
"94","Jackson","Democrat","Secretary of State","John Forsyth","Forsyth","1834-06-27","1837-03-03","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","Princeton not listed in Sobel et al., but confirmed in Biographical Directory of the United States Congress","","","","","","","","","",""
"95","Jackson","Democrat","Secretary of the Treasury","Samuel D. Ingham","Ingham","1829-03-06","1831-06-21","","","","no college","","","","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"96","Jackson","Democrat","Secretary of the Treasury","Louis McLane","McLane","1831-08-08","1833-05-29","","","","Newark College","","","","1","","midshipman","1798-1799","Navy","1","0","0","0","nr","nr","","","","","","","","","","",""
"97","Jackson","Democrat","Secretary of the Treasury","William J. Duane","Duane","1833-06-01","1833-09-23","","","","read law","","","","1","","","","","1","1","0","0","nr","nr","","","","","","","","","","",""
"98","Jackson","Democrat","Secretary of the Treasury","Roger B. Taney","Taney","1833-09-23","1834-06-25","","","","Dickinson College (BA)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"99","Jackson","Democrat","Secretary of the Treasury","Levi Woodbury","Woodbury","1834-07-01","1837-03-03","","","","Dartmouth College (BA); Litchfield Law School","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"100","Jackson","Democrat","Secretary of War","John H. Eaton","Eaton","1829-03-09","1831-06-20","","","","University of North Carolina, Chapel Hill","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"101","Jackson","Democrat","Secretary of War","Lewis Cass","Cass","1831-08-08","1836-10-05","","","","read law","","","","1","","brig. gen.","War of 1812","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"102","Jackson","Democrat","Secretary of War","Benjamin F. Butler","Butler","1836-10-26","1837-03-03","","","","Colby College","1","","","1","","","","","1","0","0","0","nr","nr","Listed as 1834 in CRS_1985_GOV_0034; Colby College not listed in Sobel et al.","","","","","","","","","",""
"103","Jackson","Democrat","Attorney General","John M. Berrien","Berrien","1829-03-09","1831-06-22","","","","Princeton University (grad.)","1","","","1","","capt.","War of 1812","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
